dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_aids,MLP,0.4,0.4444444444444444,0.8,0.5714285714285714,0.2
analcatdata_asbestos,MLP,0.8235294117647058,0.8571428571428571,0.75,0.8,0.888888888888889
analcatdata_bankruptcy,MLP,0.8,1.0,0.6,0.75,0.92
analcatdata_creditscore,MLP,0.95,1.0,0.9333333333333333,0.9655172413793104,1.0
analcatdata_cyyoung8092,MLP,0.55,0.3333333333333333,0.8,0.47058823529411764,0.7333333333333334
analcatdata_cyyoung9302,MLP,0.7368421052631579,0.4,0.5,0.4444444444444444,0.8
analcatdata_fraud,MLP,0.6666666666666666,0.5,0.3333333333333333,0.4,0.6111111111111112
analcatdata_japansolvent,MLP,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
labor,MLP,0.8333333333333334,1.0,0.75,0.8571428571428571,0.9375
lupus,MLP,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.8701298701298701
parity5,MLP,0.42857142857142855,0.5,0.75,0.6,0.5
postoperative_patient_data,MLP,0.3333333333333333,0.26666666666666666,0.8,0.4,0.39999999999999997
analcatdata_boxing1,MLP,0.625,0.6521739130434783,0.9375,0.7692307692307693,0.4921875
analcatdata_boxing2,MLP,0.5555555555555556,0.56,0.9333333333333333,0.7,0.5555555555555556
appendicitis,MLP,0.7272727272727273,0.3333333333333333,0.5,0.4,0.75
backache,MLP,0.4444444444444444,0.17391304347826086,0.8,0.2857142857142857,0.5032258064516129
corral,MLP,0.96875,1.0,0.9285714285714286,0.9629629629629629,1.0
glass2,MLP,0.6666666666666666,0.5909090909090909,0.8666666666666667,0.7027027027027027,0.7555555555555555
hepatitis,MLP,0.8387096774193549,0.8846153846153846,0.92,0.9019607843137255,0.8533333333333333
molecular_biology_promoters,MLP,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8429752066115702
mux6,MLP,0.9615384615384616,1.0,0.9230769230769231,0.96,1.0
prnn_crabs,MLP,0.975,1.0,0.95,0.9743589743589743,1.0
analcatdata_lawsuit,MLP,0.9622641509433962,0.75,0.75,0.75,0.9948979591836734
biomed,MLP,0.8095238095238095,0.8064516129032258,0.9259259259259259,0.8620689655172413,0.8691358024691358
breast_cancer,MLP,0.6896551724137931,0.47619047619047616,0.5882352941176471,0.5263157894736842,0.7015781922525107
prnn_synth,MLP,0.86,0.8214285714285714,0.92,0.8679245283018868,0.952
sonar,MLP,0.8333333333333334,0.8095238095238095,0.85,0.8292682926829268,0.8704545454545454
spect,MLP,0.8703703703703703,0.875,0.9767441860465116,0.9230769230769231,0.8086680761099365
bupa,MLP,0.6376811594202898,0.6041666666666666,0.8285714285714286,0.6987951807228916,0.6563025210084033
haberman,MLP,0.24193548387096775,0.2459016393442623,0.9375,0.38961038961038963,0.5543478260869565
ionosphere,MLP,0.9577464788732394,0.9574468085106383,0.9782608695652174,0.967741935483871,0.9947826086956522
spectf,MLP,0.8571428571428571,0.8727272727272727,0.9411764705882353,0.9056603773584906,0.9184726522187823
clean1,MLP,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9991181657848325
irish,MLP,0.99,1.0,0.9772727272727273,0.9885057471264368,1.0
saheart,MLP,0.6236559139784946,0.47692307692307695,0.96875,0.6391752577319587,0.7443647540983607
_deprecated_cleve,MLP,0.7377049180327869,0.6578947368421053,0.8928571428571429,0.7575757575757576,0.814935064935065
_deprecated_colic,MLP,0.7432432432432432,0.7258064516129032,0.9574468085106383,0.8256880733944955,0.7234042553191489
_deprecated_heart_c,MLP,0.8524590163934426,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.9004329004329004
_deprecated_heart_h,MLP,0.7457627118644068,0.7346938775510204,0.9473684210526315,0.8275862068965517,0.7882205513784462
_deprecated_heart_statlog,MLP,0.7037037037037037,0.6052631578947368,0.9583333333333334,0.7419354838709677,0.8263888888888888
_deprecated_horse_colic,MLP,0.5945945945945946,0.46511627906976744,0.7407407407407407,0.5714285714285714,0.6461780929866037
_deprecated_house_votes_84,MLP,0.9655172413793104,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9966703662597115
_deprecated_hungarian,MLP,0.8305084745762712,0.9230769230769231,0.5714285714285714,0.7058823529411765,0.8596491228070176
_deprecated_vote,MLP,0.9080459770114943,0.825,0.9705882352941176,0.8918918918918919,0.9772475027746947
