dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_aids,lightgbm,0.6,0.6666666666666666,0.4,0.5,0.4
analcatdata_asbestos,lightgbm,0.7647058823529411,0.8333333333333334,0.625,0.7142857142857143,0.7847222222222223
analcatdata_bankruptcy,lightgbm,0.9,0.8333333333333334,1.0,0.9090909090909091,1.0
analcatdata_creditscore,lightgbm,1.0,1.0,1.0,1.0,1.0
analcatdata_cyyoung8092,lightgbm,0.8,0.6,0.6,0.6,0.5466666666666666
analcatdata_cyyoung9302,lightgbm,0.7894736842105263,0.5,0.25,0.3333333333333333,0.7833333333333333
analcatdata_fraud,lightgbm,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.7222222222222223
analcatdata_japansolvent,lightgbm,0.7272727272727273,0.8,0.6666666666666666,0.7272727272727273,0.8
labor,lightgbm,0.8333333333333334,1.0,0.75,0.8571428571428571,0.9375
lupus,lightgbm,0.7222222222222222,0.625,0.7142857142857143,0.6666666666666666,0.6883116883116883
parity5,lightgbm,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666
postoperative_patient_data,lightgbm,0.5555555555555556,0.2,0.2,0.2,0.4461538461538461
analcatdata_boxing1,lightgbm,0.875,0.9333333333333333,0.875,0.9032258064516129,0.9453125
analcatdata_boxing2,lightgbm,0.7407407407407407,0.7,0.9333333333333333,0.8,0.8
appendicitis,lightgbm,0.9090909090909091,1.0,0.5,0.6666666666666666,0.8194444444444444
backache,lightgbm,0.8333333333333334,0.0,0.0,0.0,0.5161290322580645
corral,lightgbm,1.0,1.0,1.0,1.0,1.0
glass2,lightgbm,0.8787878787878788,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.925925925925926
hepatitis,lightgbm,0.7741935483870968,0.8461538461538461,0.88,0.8627450980392157,0.8266666666666667
molecular_biology_promoters,lightgbm,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9173553719008265
mux6,lightgbm,1.0,1.0,1.0,1.0,1.0
prnn_crabs,lightgbm,1.0,1.0,1.0,1.0,1.0
analcatdata_lawsuit,lightgbm,1.0,1.0,1.0,1.0,1.0
biomed,lightgbm,0.9285714285714286,0.9,1.0,0.9473684210526315,0.9876543209876544
breast_cancer,lightgbm,0.603448275862069,0.3333333333333333,0.35294117647058826,0.34285714285714286,0.5229555236728838
prnn_synth,lightgbm,0.9,0.9545454545454546,0.84,0.8936170212765957,0.9472
sonar,lightgbm,0.8809523809523809,0.8947368421052632,0.85,0.8717948717948718,0.9727272727272728
spect,lightgbm,0.8333333333333334,0.8541666666666666,0.9534883720930233,0.9010989010989011,0.7811839323467231
bupa,lightgbm,0.6521739130434783,0.6410256410256411,0.7142857142857143,0.6756756756756757,0.7075630252100841
haberman,lightgbm,0.7096774193548387,0.375,0.1875,0.25,0.6888586956521738
ionosphere,lightgbm,0.9436619718309859,0.92,1.0,0.9583333333333334,0.9930434782608695
spectf,lightgbm,0.8714285714285714,0.9038461538461539,0.9215686274509803,0.912621359223301,0.8586171310629515
clean1,lightgbm,1.0,1.0,1.0,1.0,1.0
irish,lightgbm,1.0,1.0,1.0,1.0,1.0
saheart,lightgbm,0.7419354838709677,0.6666666666666666,0.5,0.5714285714285714,0.7730532786885246
